Name,wiki-site,website
Ubon Ratchathani University ,https://en.wikipedia.org/wiki/Ubon Ratchathani University
,http://www.ubu.ac.th/ 
Telkom University / Universitas Telkom ,Page not found,,http://telkomuniversity.ac.id/ 
Walailak University ,https://en.wikipedia.org/wiki/Walailak University
,http://www.wu.ac.th/ 
Swinburne University of Technology Sarawak Campus ,https://en.wikipedia.org/wiki/Swinburne University of Technology Sarawak Campus
,http://www.swinburne.edu.my/ 
Curtin University Sarawak ,https://en.wikipedia.org/wiki/Curtin University Sarawak
,http://www.curtin.edu.my/ 
Universitas Tadulako ,https://en.wikipedia.org/wiki/Universitas Tadulako
,http://untad.ac.id/ 
University of the Thai Chamber of Commerce ,https://en.wikipedia.org/wiki/University of the Thai Chamber of Commerce
,http://www.utcc.ac.th/ 
Akademi Telkom Jakarta ,Page not found,,http://www.akademitelkom.ac.id/ 
Universitas Mercu Buana ,Page not found,,http://www.mercubuana.ac.id/ 
Nong Lam University (Ho Chi Minh City University of Agriculture and Forestry) ,Page not found,,http://www.hcmuaf.edu.vn/ 
Rajamangala University of Technology Lanna ,https://en.wikipedia.org/wiki/Rajamangala University of Technology Lanna
,http://www.rmutl.ac.th/ 
Nakhon Pathom Rajabhat University ,Page not found,,http://www.npru.ac.th/ 
Thaksin University ,https://en.wikipedia.org/wiki/Thaksin University
,http://www.tsu.ac.th/ 
Post and Telecommunications Institute of Technology ,Page not found,,http://portal.ptit.edu.vn/ 
Hue University ,https://en.wikipedia.org/wiki/Hue University
,http://hueuni.edu.vn/ 
Universitas Negeri Malang ,https://en.wikipedia.org/wiki/Universitas Negeri Malang
,http://www.um.ac.id/ 
Universitas Katolik Indonesia Atma Jaya ,https://en.wikipedia.org/wiki/Universitas Katolik Indonesia Atma Jaya
,http://www.atmajaya.ac.id/ 
(3) Nanyang Technological University National Institute of Education ,Page not found,,http://www.nie.edu.sg/ 
Petra Christian University ,https://en.wikipedia.org/wiki/Petra Christian University
,http://www.petra.ac.id/ 
Universitas Narotama UNNAR Surabaya ,Page not found,,http://narotama.ac.id/ 
AIMST University ,https://en.wikipedia.org/wiki/AIMST University
,http://www.aimst.edu.my/ 
Universitas Sumatera Utara ,https://en.wikipedia.org/wiki/Universitas Sumatera Utara
,http://www.usu.ac.id/ 
Universitas Muhammadiyah Malang ,Page not found,,http://www.umm.ac.id/ 
National University of Laos ,https://en.wikipedia.org/wiki/National University of Laos
,http://www.nuol.edu.la/ 
Singapore Institute of Management ,https://en.wikipedia.org/wiki/Singapore Institute of Management
,http://www.sim.edu.sg/ 
Universiti Selangor ,Page not found,,http://www.unisel.edu.my/ 
Universitas Mataram ,https://en.wikipedia.org/wiki/Universitas Mataram
,http://unram.ac.id/ 
Taylor's University ,https://en.wikipedia.org/wiki/Taylor's University
,http://university.taylors.edu.my/ 
National Economics University ,https://en.wikipedia.org/wiki/National Economics University
,http://www.neu.edu.vn/ 
Universitas Katolik Parahyangan ,https://en.wikipedia.org/wiki/Universitas Katolik Parahyangan
,http://unpar.ac.id/ 
Huachiew Chalermprakiet University ,https://en.wikipedia.org/wiki/Huachiew Chalermprakiet University
,http://www.hcu.ac.th/ 
Universitas Widyatama UTAMA Bandung ,Page not found,,http://www.widyatama.ac.id/ 
Indonesian Computer University UNIKOM ,Page not found,,http://www.unikom.ac.id/ 
University of Transport and Communications Ha Noi ,Page not found,,http://www.utc.edu.vn/ 
Universitas Negeri Padang ,Page not found,,http://www.unp.ac.id/ 
UCSI University ,https://en.wikipedia.org/wiki/UCSI University
,http://www.ucsiuniversity.edu.my/ 
Vinh University ,https://en.wikipedia.org/wiki/Vinh University
,http://www.vinhuni.edu.vn/ 
Duke-NUS Graduate Medical School Singapore ,Page not found,,http://www.duke-nus.edu.sg/ 
Universitas Tanjungpura ,Page not found,,http://www.untan.ac.id/ 
Buriram Rajabhat University ,Page not found,,http://www.bru.ac.th/ 
Poltekkes Kemenkes Malang ,Page not found,,http://www.poltekkes-malang.ac.id/ 
Le Quy Don Technical University ,https://en.wikipedia.org/wiki/Le Quy Don Technical University
,http://mta.edu.vn/ 
Universitas Negeri Gorontalo ,Page not found,,http://www.ung.ac.id/ 
Quy Nhon University ,Page not found,,http://www.qnu.edu.vn/ 
Rajamangala University of Technology Isan ,https://en.wikipedia.org/wiki/Rajamangala University of Technology Isan
,http://www.rmuti.ac.th/ 
